Date : 2025-01-17 13:27:27
Directory : c:\Workspace\Robot\2025bot
Total : 78 files,  4846 codes, 1614 comments, 1008 blanks, all 7468 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |         58 |      3,488 |      1,562 |        946 |      5,996 |
| JSON            |         14 |      1,143 |          0 |          1 |      1,144 |
| Groovy          |          2 |         92 |         20 |         24 |        136 |
| Markdown        |          2 |         75 |          0 |         14 |         89 |
| Batch           |          1 |         41 |         32 |         22 |         95 |
| Java Properties |          1 |          7 |          0 |          1 |          8 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         78 |      4,846 |      1,614 |      1,008 |      7,468 |
| . (Files)                                                                                          |          4 |        155 |         52 |         49 |        256 |
| .wpilib                                                                                            |          1 |          6 |          0 |          0 |          6 |
| gradle                                                                                             |          1 |          7 |          0 |          1 |          8 |
| gradle\wrapper                                                                                     |          1 |          7 |          0 |          1 |          8 |
| src                                                                                                |         59 |      3,541 |      1,562 |        957 |      6,060 |
| src\main                                                                                           |         59 |      3,541 |      1,562 |        957 |      6,060 |
| src\main\java                                                                                      |         59 |      3,541 |      1,562 |        957 |      6,060 |
| src\main\java\frc                                                                                  |         59 |      3,541 |      1,562 |        957 |      6,060 |
| src\main\java\frc\lib                                                                              |         31 |      1,773 |        764 |        428 |      2,965 |
| src\main\java\frc\lib\drivers                                                                      |          5 |        403 |        139 |        115 |        657 |
| src\main\java\frc\lib\gamepads                                                                     |         12 |        653 |        294 |        140 |      1,087 |
| src\main\java\frc\lib\gamepads (Files)                                                             |          7 |        339 |         25 |         92 |        456 |
| src\main\java\frc\lib\gamepads\mapping                                                             |          5 |        314 |        269 |         48 |        631 |
| src\main\java\frc\lib\swerve                                                                       |          4 |        163 |         81 |         37 |        281 |
| src\main\java\frc\lib\telemetry                                                                    |          5 |        218 |         69 |         63 |        350 |
| src\main\java\frc\lib\util                                                                         |          5 |        336 |        181 |         73 |        590 |
| src\main\java\frc\robot                                                                            |         23 |      1,557 |        758 |        481 |      2,796 |
| src\main\java\frc\robot (Files)                                                                    |          4 |        237 |        123 |         91 |        451 |
| src\main\java\frc\robot\XBoxCtrlrs                                                                 |          5 |        303 |         91 |         80 |        474 |
| src\main\java\frc\robot\XBoxCtrlrs (Files)                                                         |          1 |         53 |          0 |         11 |         64 |
| src\main\java\frc\robot\XBoxCtrlrs\pilot                                                           |          4 |        250 |         91 |         69 |        410 |
| src\main\java\frc\robot\XBoxCtrlrs\pilot (Files)                                                   |          3 |        216 |         80 |         58 |        354 |
| src\main\java\frc\robot\XBoxCtrlrs\pilot\commands                                                  |          1 |         34 |         11 |         11 |         56 |
| src\main\java\frc\robot\drivetrain                                                                 |         14 |      1,017 |        544 |        310 |      1,871 |
| src\main\java\frc\robot\drivetrain (Files)                                                         |          8 |        715 |        403 |        226 |      1,344 |
| src\main\java\frc\robot\drivetrain\commands                                                        |          2 |        106 |         34 |         25 |        165 |
| src\main\java\frc\robot\drivetrain\config                                                          |          4 |        196 |        107 |         59 |        362 |
| src\main\java\frc\util                                                                             |          5 |        211 |         40 |         48 |        299 |
| vendordeps                                                                                         |         13 |      1,137 |          0 |          1 |      1,138 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                           | language        | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\Workspace\Robot\2025bot\.wpilib\wpilib_preferences.json                                         | JSON            |          6 |          0 |          0 |          6 |
| c:\Workspace\Robot\2025bot\WPILib-License.md                                                       | Markdown        |         22 |          0 |          3 |         25 |
| c:\Workspace\Robot\2025bot\build.gradle                                                            | Groovy          |         64 |         20 |         21 |        105 |
| c:\Workspace\Robot\2025bot\gradle\wrapper\gradle-wrapper.properties                                | Java Properties |          7 |          0 |          1 |          8 |
| c:\Workspace\Robot\2025bot\gradlew.bat                                                             | Batch           |         41 |         32 |         22 |         95 |
| c:\Workspace\Robot\2025bot\settings.gradle                                                         | Groovy          |         28 |          0 |          3 |         31 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\drivers\LimeLight.java                            | Java            |        174 |        118 |         37 |        329 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\drivers\LimeLightControlModes.java                | Java            |        149 |          1 |         51 |        201 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\drivers\SpectrumDigitalInput.java                 | Java            |         25 |          1 |         10 |         36 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\drivers\SpectrumDigitalRelay.java                 | Java            |         25 |         10 |         10 |         45 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\drivers\SpectrumSolenoid.java                     | Java            |         30 |          9 |          7 |         46 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\gamepads\AxisButton.java                          | Java            |         49 |          4 |         11 |         64 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\gamepads\Dpad.java                                | Java            |         29 |          1 |          8 |         38 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\gamepads\Gamepad.java                             | Java            |         42 |         15 |         14 |         71 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\gamepads\SpectrumButton.java                      | Java            |         15 |          1 |          7 |         23 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\gamepads\ThumbStick.java                          | Java            |         80 |          2 |         18 |        100 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\gamepads\Triggers.java                            | Java            |         26 |          1 |          7 |         34 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\gamepads\XboxGamepad.java                         | Java            |         98 |          1 |         27 |        126 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\gamepads\mapping\Curve.java                       | Java            |         62 |         97 |         16 |        175 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\gamepads\mapping\ExpCurve.java                    | Java            |         37 |         42 |          8 |         87 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\gamepads\mapping\LinCurve.java                    | Java            |         23 |         26 |          4 |         53 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\gamepads\mapping\SplineCurve.java                 | Java            |        184 |         96 |         18 |        298 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\gamepads\mapping\SplineType.java                  | Java            |          8 |          8 |          2 |         18 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\swerve\CTREModuleState.java                       | Java            |         42 |         16 |          6 |         64 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\swerve\Request.java                               | Java            |         26 |         14 |         10 |         50 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\swerve\SwerveModuleConfig.java                    | Java            |         23 |         12 |          4 |         39 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\swerve\SwerveUtil.java                            | Java            |         72 |         39 |         17 |        128 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\telemetry\Alert.java                              | Java            |         76 |         44 |         15 |        135 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\telemetry\AlertCommand.java                       | Java            |         26 |         11 |         10 |         47 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\telemetry\CustomLayout.java                       | Java            |         58 |          6 |         15 |         79 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\telemetry\TelemetrySubsystem.java                 | Java            |         29 |          3 |          8 |         40 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\telemetry\WidgetsAndLayouts.java                  | Java            |         29 |          5 |         15 |         49 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\util\Conversions.java                             | Java            |         39 |         42 |         11 |         92 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\util\GeomUtil.java                                | Java            |         42 |         65 |         12 |        119 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\util\Network.java                                 | Java            |         57 |         16 |          6 |         79 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\util\Rmath.java                                   | Java            |        123 |         32 |         22 |        177 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\lib\util\Util.java                                    | Java            |         75 |         26 |         22 |        123 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\Main.java                                       | Java            |          8 |         13 |          5 |         26 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\Robot.java                                      | Java            |        149 |         60 |         56 |        265 |
