"filename", "language", "Java", "Markdown", "comment", "blank", "total"
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\Main.java", "Java", 8, 0, 13, 5, 26
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\Robot.java", "Java", 181, 0, 60, 58, 299
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\RobotConfig.java", "Java", 36, 0, 3, 15, 54
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\RobotTelemetry.java", "Java", 55, 0, 50, 26, 131
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\XBoxCtrlrs\Layouts.md", "Markdown", 0, 53, 0, 11, 64
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\XBoxCtrlrs\operator\OperatorGamepad.java", "Java", 119, 0, 70, 55, 244
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\XBoxCtrlrs\operator\OperatorGamepadConfig.java", "Java", 40, 0, 9, 10, 59
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\XBoxCtrlrs\operator\OperatorGamepadTelemetry.java", "Java", 84, 0, 6, 21, 111
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\XBoxCtrlrs\operator\commands\OperatorGamepadCmds.java", "Java", 49, 0, 12, 21, 82
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\XBoxCtrlrs\pilot\PilotGamepad.java", "Java", 113, 0, 66, 49, 228
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\XBoxCtrlrs\pilot\PilotGamepadConfig.java", "Java", 40, 0, 9, 10, 59
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\XBoxCtrlrs\pilot\PilotGamepadTelemetry.java", "Java", 84, 0, 6, 21, 111
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\XBoxCtrlrs\pilot\commands\PilotGamepadCmds.java", "Java", 40, 0, 11, 17, 68
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\auto\Auto.java", "Java", 187, 0, 46, 38, 271
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\auto\AutoCmds.java", "Java", 52, 0, 34, 16, 102
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\auto\AutoConfig.java", "Java", 23, 0, 4, 12, 39
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\canbus\canfd.java", "Java", 5, 0, 0, 4, 9
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\AlignmentController.java", "Java", 61, 0, 6, 14, 81
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\DrivetrainOdometry.java", "Java", 39, 0, 8, 10, 57
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\DrivetrainSubSys.java", "Java", 153, 0, 75, 60, 288
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\DrivetrainTelemetry.java", "Java", 45, 0, 37, 15, 97
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\OdometryThread.java", "Java", 214, 0, 194, 74, 482
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\PigeonGyro.java", "Java", 22, 0, 9, 12, 43
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\RotationController.java", "Java", 50, 0, 6, 14, 70
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\SwerveModule.java", "Java", 142, 0, 124, 51, 317
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\commands\DrivetrainCmds.java", "Java", 16, 0, 11, 7, 34
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\commands\SwerveDriveCmd.java", "Java", 90, 0, 23, 18, 131
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\config\AngleFalconConfig.java", "Java", 49, 0, 21, 13, 83
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\config\CanCoderConfig.java", "Java", 12, 0, 7, 5, 24
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\config\DriveFalconConfig.java", "Java", 44, 0, 16, 12, 72
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\config\DrivetrainConfig.java", "Java", 95, 0, 63, 30, 188
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\subsystems\climber\ClimberConfig.java", "Java", 52, 0, 17, 20, 89
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\subsystems\climber\ClimberSubSys.java", "Java", 70, 0, 19, 25, 114
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\subsystems\climber\ClimberTelemetry.java", "Java", 11, 0, 0, 4, 15
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\subsystems\climber\commands\ClimberCmds.java", "Java", 38, 0, 4, 9, 51
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\subsystems\elevator\ElevatorConfig.java", "Java", 58, 0, 17, 21, 96
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\subsystems\elevator\ElevatorSubSys.java", "Java", 98, 0, 18, 24, 140
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\subsystems\elevator\ElevatorTelemetry.java", "Java", 13, 0, 0, 4, 17
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\subsystems\elevator\commands\ElevatorCmds.java", "Java", 52, 0, 4, 14, 70
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\subsystems\intake\IntakeConfig.java", "Java", 18, 0, 9, 13, 40
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\subsystems\intake\IntakeSubSys.java", "Java", 77, 0, 31, 25, 133
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\subsystems\intake\IntakeTelemetry.java", "Java", 9, 0, 2, 4, 15
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\subsystems\intake\commands\IntakeCmds.java", "Java", 46, 0, 15, 15, 76
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\subsystems\orchestra\orchestraCmds.java", "Java", 15, 0, 0, 5, 20
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\subsystems\orchestra\orchestraSubSys.java", "Java", 61, 0, 2, 21, 84
"Total", "-", 2766, 53, 1137, 928, 4884
